Player,Romanized Name,Nationality,Born,Status,Role,Team,Approx. Total Winnings,Signature Heroes,Game Appearances
senna,,"Netherlands, Greece",February 17,Active,DPS,,"$5,698","Ashe, Sojourn, Widowmaker","Overwatch, Overwatch 2"
AMADOU,,"Canada, Senegal",,Active,"DPS, Flex",,"$3,320","Widowmaker, Sojourn, Cassidy","Overwatch, Overwatch 2"
Kashir,,"United States, Pakistan","August 13, 2002 (age 22)",Active,"DPS, Tank",University of Texas at Dallas,"$1,684","Doomfist, Sombra, Genji","Overwatch, Overwatch 2"
Azurae,,Canada,"February  8, 2006 (age 19)",Active,DPS,,"$3,397","Sojourn, Hanzo, Ashe","Overwatch, Overwatch 2"
cleopatra,,United States,"February 12, 2002 (age 23)",Active,"Tank, Streamer",Geekay Esports,"$2,872","Reinhardt, Lúcio, Baptiste","Overwatch, Overwatch 2"
Anghell1c,,United States,"August  8, 2002 (age 22)",Active,Support,Arizona State University,"$13,670","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
Salmon,,"United States, Canada","August 15, 2005 (age 19)",Active,Support,Supershy,$601,"Ana, Zenyatta, Kiriko",Overwatch 2
amadien,,United States,,Active,DPS,,"$4,378","Tracer, Widowmaker, Cassidy","Overwatch, Overwatch 2"
Melophobia,,United States,"June  9, 2006 (age 19)",Active,DPS,,$535,"Tracer, Mei, Echo",Overwatch 2
Z4CH,,United States,"July  6, 2002 (age 23)",Active,DPS,,$962,"Echo, Pharah, Tracer","Overwatch, Overwatch 2"
velvet,,"United States, Philippines","February 11, 2006 (age 19)",Active,Support,Sakura Esports,"$4,203","Lúcio, Brigitte, Mercy",Overwatch 2
xten,,"Cambodia, United States","October 27, 2005 (age 19)",Active,DPS,Sakura Esports,"$5,185","Sojourn, Widowmaker, Ashe",Overwatch 2
Peace,,United States,"June 17, 2003 (age 22)",Active,DPS,"Sakura Esports, Bryant & Stratton College Virginia","$9,246","Genji, Echo, Hanzo","Overwatch, Overwatch 2"
Prota,,United States,"November  5, 2003 (age 21)",Active,Support,Bryant & Stratton College Virginia,"$7,054","Baptiste, Ana, Illari","Overwatch, Overwatch 2"
wub,,United States,"April 12, 2001 (age 24)",Retired,DPS,,"$31,981","Widowmaker, Hanzo, Echo","Overwatch, Overwatch 2"
Bun,,"United States, South Korea",,Active,DPS,,"$14,039","Mei, Sombra, Genji","Overwatch, Overwatch 2"
Dreepy,,United States,"September 12, 2006 (age 18)",Active,DPS,,"$1,181","Cassidy, Ashe, Widowmaker",Overwatch 2
pela,,United States,"January 21, 2005 (age 20)",Active,Tank,Dreamland,"$3,840","Wrecking Ball, Winston, Mauga","Overwatch, Overwatch 2"
TwolzZ,,Netherlands,"December 23, 2001 (age 23)",Active,"Tank, Flex",Extinction,"$10,878","D.Va, Sigma, Zarya","Overwatch, Overwatch 2"
NenWhy,,United States,"July 23, 2005 (age 20)",Active,Support,"Extinction, Bryant & Stratton College Virginia","$6,821","Mercy, Lúcio, Brigitte",Overwatch 2
scuffed,,United States,"June 25, 2004 (age 21)",Active,Support,Extinction,"$6,997","Kiriko, Baptiste, Juno","Overwatch, Overwatch 2"
vyese,,United States,,Active,"Manager, DPS","DhillDucks, Young and Beautiful","$1,886","Pharah, Venture, Junkrat","Overwatch, Overwatch 2"
v1ctory,,Canada,,Active,DPS,DhillDucks,"$2,305","Widowmaker, Ashe, Cassidy","Overwatch, Overwatch 2"
Emmeryn,,Canada,"September 25, 2002 (age 22)",Active,DPS,,"$3,244","Sombra, Mei, Pharah","Overwatch, Overwatch 2"
baz,,United States,"August 25, 2001 (age 23)",Active,"Tank, Coach",DhillDucks,"$1,929","Winston, Ramattra, Lúcio","Overwatch, Overwatch 2"
Lava,,"United States, China","August  4, 2003 (age 21)",Active,"Coach, Tank",Ohio State University,$754,"Reinhardt, Winston, Wrecking Ball","Overwatch, Overwatch 2"
redex,,Canada,"July 17, 2002 (age 23)",Active,Support,"St. Clair College, DhillDucks","$4,220","Lúcio, Baptiste, Zenyatta","Overwatch, Overwatch 2"
FrothyFilly7,,United States,"May 18, 2004 (age 21)",Active,Support,DhillDucks,"$1,725","Kiriko, Baptiste, Ana","Overwatch, Overwatch 2"
Gorilla,,Canada,"September  5, 2003 (age 21)",Active,Support,,"$1,567","Ana, Moira, Mercy","Overwatch, Overwatch 2"
Ade,Lee Ji-hwan,South Korea,"January 17, 2004 (age 21)",Active,DPS,All Gamers Global,"$18,106","Ashe, Sojourn, Freja","Overwatch, Overwatch 2"
JUTSU,,"United States, United Kingdom","November 25, 2004 (age 20)",Active,DPS,Supernova,"$3,395","Widowmaker, Sojourn, Ashe",Overwatch 2
nvm,,United States,"July  1, 2005 (age 20)",Active,DPS,Extinction,"$3,634","Tracer, Genji, Pharah",Overwatch 2
Axure,,Canada,"March 16, 2006 (age 19)",Active,Tank,"DhillDucks, St. Clair College","$1,812","Doomfist, Sigma, Zarya",Overwatch 2
Hing3d,,United States,"April 18, 2001 (age 24)",Retired,Support,,"$1,825","Lúcio, Brigitte, Baptiste","Overwatch, Overwatch 2"
skier,,"United States, Portugal",,Active,"Support, DPS",,"$2,129","Kiriko, Baptiste, Zenyatta","Overwatch, Overwatch 2"
luka,,United States,"November 19, 2004 (age 20)",Active,"Tank, Flex",,"$3,595","Wrecking Ball, Winston, Doomfist","Overwatch, Overwatch 2"
Proper,Kim Dong-hyun,South Korea,"December  1, 2003 (age 21)",Active,DPS,Team Falcons,"$225,255","Tracer, Genji, Sojourn","Overwatch, Overwatch 2"
Stalk3r,Jeong Hak-yong,South Korea,"August 26, 2003 (age 21)",Active,DPS,Team Falcons,"$191,003","Genji, Tracer, Echo","Overwatch, Overwatch 2"
smurf,Yoo Myeong-hwan,South Korea,"March 12, 2000 (age 25)",Retired,Tank,,"$547,085","Winston, Orisa, Wrecking Ball","Overwatch, Overwatch 2"
Hanbin,Choi Han-been,South Korea,"February 20, 2002 (age 23)",Active,Tank,Team Falcons,"$233,502","Sigma, Zarya, Junker Queen","Overwatch, Overwatch 2"
ChiYo,Han Hyeon-seok,South Korea,"September  8, 2003 (age 21)",Active,Support,Team Falcons,"$383,974","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
Fielder,Kwon Joon,South Korea,"January 29, 2002 (age 23)",Active,Support,Team Falcons,"$456,773","Baptiste, Ana, Kiriko","Overwatch, Overwatch 2"
SirMajed,Majed Alrashied,Saudi Arabia,"January 24, 2004 (age 21)",Active,Support,Team Falcons,"$110,189","Illari, Baptiste, Zenyatta","Overwatch, Overwatch 2"
LIP,Lee Jae-won,South Korea,"November  5, 2001 (age 23)",Active,DPS,Crazy Raccoon,"$601,045","Sombra, Sojourn, Widowmaker","Overwatch, Overwatch 2"
HeeSang,Chae Hee-sang,South Korea,"March  3, 2005 (age 20)",Active,DPS,Crazy Raccoon,"$172,283","Genji, Tracer, Echo","Overwatch, Overwatch 2"
Junbin,Park Jun-bin,South Korea,"October  5, 2005 (age 19)",Active,Tank,Crazy Raccoon,"$167,293","Wrecking Ball, Winston, Orisa","Overwatch, Overwatch 2"
MAX,Choi Su-min,South Korea,"November 23, 2004 (age 20)",Active,Tank,Crazy Raccoon,"$164,800","Sigma, D.Va, Zarya","Overwatch, Overwatch 2"
CH0R0NG,Sung Yoo-min,South Korea,"December  8, 2003 (age 21)",Active,Support,Crazy Raccoon,"$393,157","Lúcio, Brigitte, Kiriko","Overwatch, Overwatch 2"
Shu,Kim Jin-seo,South Korea,"July 12, 2000 (age 25)",Active,Support,Crazy Raccoon,"$417,048","Baptiste, Zenyatta, Ana","Overwatch, Overwatch 2"
Flora,Yim Young-woo,South Korea,"December 26, 2002 (age 22)",Active,DPS,ZETA DIVISION,"$37,264","Cassidy, Ashe, Widowmaker","Overwatch, Overwatch 2"
AlphaYi,Kim Jun,South Korea,"November 27, 2002 (age 22)",Active,"Support, DPS",ZETA DIVISION,"$80,680","Genji, Tracer, Echo","Overwatch, Overwatch 2"
Belosrea,Hwang Gyu-tae,South Korea,"January 10, 2004 (age 21)",Active,Tank,ROC Esports,"$43,153","Winston, Reinhardt, Wrecking Ball","Overwatch, Overwatch 2"
BERNAR,Shin Se-won,South Korea,"August 18, 2000 (age 24)",Active,Tank,ZETA DIVISION,"$159,021","D.Va, Zarya, Sigma","Overwatch, Overwatch 2"
Viol2t,Park Min-ki,South Korea,"April 17, 2000 (age 25)",Active,Support,Team Vision,"$644,276","Zenyatta, Baptiste, Lúcio","Overwatch, Overwatch 2"
FiNN,Oh Se-jin,"South Korea, Japan","September 19, 2003 Minamichita, Japan (age 21)",Active,Support,ZETA DIVISION,"$175,095","Zenyatta, Ana, Kiriko","Overwatch, Overwatch 2"
Nico,Fujikawa Daisuke,Japan,"February  3, 1999 (age 26)",Active,DPS,VARREL,"$13,368","Tracer, Sojourn, Genji","Overwatch, Overwatch 2"
Qki,Hirayama Nariaki,Japan,"February 20, 1998 (age 27)",Active,DPS,VARREL,"$8,717","Sombra, Tracer, Echo","Overwatch, Overwatch 2"
KSG,Inoue Tomoharu,Japan,,Active,Tank,VARREL,"$10,074","Winston, Doomfist, Orisa","Overwatch, Overwatch 2"
mint,,Sweden,,Retired,Support,,$58,,Overwatch
Qloud,Takashi Umeda,Japan,"July 15, 2000 (age 25)",Active,Support,VARREL,"$9,606","Baptiste, Ana, Kiriko","Overwatch, Overwatch 2"
Mihawk,Ukihasu Sho,Japan,,Active,"Streamer, DPS",VARREL,"$8,731","Widowmaker, Ashe, Hanzo","Overwatch, Overwatch 2"
Daisy,Shiono Hiromu,Japan,"June 15, 1999 (age 26)",Active,DPS,Aplomb Tiger,"$4,501","Tracer, Ashe, Widowmaker","Overwatch, Overwatch 2"
Undersea,Shunsei Fujii,Japan,"April  1, 2001 (age 24)",Active,DPS,Lazuli,"$3,261","Genji, Echo, Sombra","Overwatch, Overwatch 2"
Leonopteryx,Keisuke Yamamoto,Japan,"February 10, 2002 (age 23)",Active,Tank,,"$2,538","Winston, Orisa, Junker Queen","Overwatch, Overwatch 2"
MasDog,Kengo Masuda,Japan,"September 10, 1995 (age 29)",Active,Tank,,"$2,285","D.Va, Zarya, Ramattra","Overwatch, Overwatch 2"
BL1NK,Kim Si-on,South Korea,"December 20, 2003 (age 21)",Active,Support,,"$2,047","Brigitte, Lúcio, Baptiste",Overwatch 2
CARU,Kim Beom-jun,South Korea,"September 10, 2004 (age 20)",Active,Support,,"$4,660","Ana, Moira, Kiriko","Overwatch, Overwatch 2"
Nyang,Park Su-young,South Korea,"February  1, 2002 (age 23)",Active,DPS,The Gatos Guapos,"$19,105","Widowmaker, Ashe, Sojourn","Overwatch, Overwatch 2"
sgy,,Singapore,"September 11, 2003 (age 21)",Active,DPS,,"$23,498","Tracer, Echo, Junkrat","Overwatch, Overwatch 2"
Adam,,United States,,Retired,"Manager, Support",,"$28,385","Mercy, Zenyatta, Lúcio",Overwatch
Overshake,Kim Do-hoon,"Singapore, South Korea","December  4, 2004 (age 20)",Active,Support,Full House,"$3,519","Lúcio, Brigitte, Zenyatta","Overwatch, Overwatch 2"
Kame,,Singapore,"March  5, 2001 (age 24)",Active,"Support, Flex",I LOVE YOU,"$7,825","Ana, Kiriko, Tracer","Overwatch, Overwatch 2"
Light,,"Taiwan, United States","December 19, 2002 (age 22)",Active,Flex,The Gatos Guapos,"$9,576","Doomfist, Widowmaker, Kiriko","Overwatch, Overwatch 2"
Ace,,"Switzerland, Turkey","September 23, 2005 (age 19)",Active,DPS,Wasp X Ohhhh No,"$2,386","Tracer, Mei, Echo","Overwatch, Overwatch 2"
HyVision,Nathawit Prajong,Thailand,"November 26, 2004 (age 20)",Active,DPS,,"$9,487","Sojourn, Ashe, Cassidy",Overwatch 2
CLEAR,,United States,"April 24, 2004 (age 21)",Active,Tank,"Sakura Esports, Boise State University","$27,399","D.Va, Junker Queen, Mauga","Overwatch, Overwatch 2"
Dank,,Australia,"May 10, 2003 (age 22)",Active,Tank,mud dog,"$12,556","Winston, Wrecking Ball, Orisa","Overwatch, Overwatch 2"
Lumi,,Singapore,"February  7, 2002 (age 23)",Retired,"Tank, Support",,"$6,051","D.Va, Junker Queen, Lúcio","Overwatch, Overwatch 2"
PaLee,Panachai Prathomchandee,Thailand,"November  4, 2004 (age 20)",Active,Support,,"$15,832","Ana, Kiriko, Lúcio","Overwatch, Overwatch 2"
IBaNG,Thanawat Panomratanarak,Thailand,"March  2, 2005 (age 20)",Retired,Support,,"$8,535","Lúcio, Mercy, Brigitte","Overwatch, Overwatch 2"
KNIFE,Lee Seon-woo,South Korea,"July 21, 2004 (age 21)",Active,DPS,Team Liquid,"$19,705","Tracer, Echo, Sojourn","Overwatch, Overwatch 2"
Viper,Lee Jung-woong,South Korea,"June 30, 2005 (age 20)",Active,DPS,T1,"$25,796","Genji, Tracer, Mei","Overwatch, Overwatch 2"
D0NGHAK,Kim Min-sung,South Korea,"December  3, 2005 (age 19)",Active,Tank,T1,"$85,000","Wrecking Ball, Winston, Doomfist","Overwatch, Overwatch 2"
Bliss,Kim So-myung,South Korea,"January  5, 2005 (age 20)",Active,Support,Spacestation Gaming,"$81,000","Lúcio, Brigitte, Mercy","Overwatch, Overwatch 2"
irony,Kim Hyeong-woo,South Korea,"January  7, 2002 (age 23)",Active,Support,,"$56,188","Zenyatta, Ana, Moira","Overwatch, Overwatch 2"
Undersea,Shunsei Fujii,Japan,"April  1, 2001 (age 24)",Active,DPS,Lazuli,"$3,261","Genji, Echo, Sombra","Overwatch, Overwatch 2"
Mihawk,Ukihasu Sho,Japan,,Active,"Streamer, DPS",VARREL,"$8,731","Widowmaker, Ashe, Hanzo","Overwatch, Overwatch 2"
MasDog,Kengo Masuda,Japan,"September 10, 1995 (age 29)",Active,Tank,,"$2,285","D.Va, Zarya, Ramattra","Overwatch, Overwatch 2"
KSG,Inoue Tomoharu,Japan,,Active,Tank,VARREL,"$10,074","Winston, Doomfist, Orisa","Overwatch, Overwatch 2"
CARU,Kim Beom-jun,South Korea,"September 10, 2004 (age 20)",Active,Support,,"$4,660","Ana, Moira, Kiriko","Overwatch, Overwatch 2"
BL1NK,Kim Si-on,South Korea,"December 20, 2003 (age 21)",Active,Support,,"$2,047","Brigitte, Lúcio, Baptiste",Overwatch 2
CLEAR,,United States,"April 24, 2004 (age 21)",Active,Tank,"Sakura Esports, Boise State University","$27,399","D.Va, Junker Queen, Mauga","Overwatch, Overwatch 2"
Kame,,Singapore,"March  5, 2001 (age 24)",Active,"Support, Flex",I LOVE YOU,"$7,825","Ana, Kiriko, Tracer","Overwatch, Overwatch 2"
sgy,,Singapore,"September 11, 2003 (age 21)",Active,DPS,,"$23,498","Tracer, Echo, Junkrat","Overwatch, Overwatch 2"
Lumi,,Singapore,"February  7, 2002 (age 23)",Retired,"Tank, Support",,"$6,051","D.Va, Junker Queen, Lúcio","Overwatch, Overwatch 2"
Ace,,"Switzerland, Turkey","September 23, 2005 (age 19)",Active,DPS,Wasp X Ohhhh No,"$2,386","Tracer, Mei, Echo","Overwatch, Overwatch 2"
Overshake,Kim Do-hoon,"Singapore, South Korea","December  4, 2004 (age 20)",Active,Support,Full House,"$3,519","Lúcio, Brigitte, Zenyatta","Overwatch, Overwatch 2"
PaLee,Panachai Prathomchandee,Thailand,"November  4, 2004 (age 20)",Active,Support,,"$15,832","Ana, Kiriko, Lúcio","Overwatch, Overwatch 2"
Light,,"Taiwan, United States","December 19, 2002 (age 22)",Active,Flex,The Gatos Guapos,"$9,576","Doomfist, Widowmaker, Kiriko","Overwatch, Overwatch 2"
Happy,Lee Jeongwoo,South Korea,"August  2, 1999 (age 25)",Retired,DPS,,"$166,821","Widowmaker, Cassidy, Tracer","Overwatch, Overwatch 2"
Flora,Yim Young-woo,South Korea,"December 26, 2002 (age 22)",Active,DPS,ZETA DIVISION,"$37,264","Cassidy, Ashe, Widowmaker","Overwatch, Overwatch 2"
AlphaYi,Kim Jun,South Korea,"November 27, 2002 (age 22)",Active,"Support, DPS",ZETA DIVISION,"$80,680","Genji, Tracer, Echo","Overwatch, Overwatch 2"
Pelican,Oh Se-hyun,South Korea,"July  5, 2002 (age 23)",Active,"DPS, Coach",ZETA DIVISION,"$327,842","Echo, Genji, Mei","Overwatch, Overwatch 2"
HEESUNG,Lee Hee-sung,South Korea,"June 20, 2006 (age 19)",Active,Tank,,"$5,812","Winston, Ramattra, Sigma","Overwatch, Overwatch 2"
BERNAR,Shin Se-won,South Korea,"August 18, 2000 (age 24)",Active,Tank,ZETA DIVISION,"$159,021","D.Va, Zarya, Sigma","Overwatch, Overwatch 2"
Viol2t,Park Min-ki,South Korea,"April 17, 2000 (age 25)",Active,Support,Team Vision,"$644,276","Zenyatta, Baptiste, Lúcio","Overwatch, Overwatch 2"
FiNN,Oh Se-jin,"South Korea, Japan","September 19, 2003 Minamichita, Japan (age 21)",Active,Support,ZETA DIVISION,"$175,095","Zenyatta, Ana, Kiriko","Overwatch, Overwatch 2"
KNIFE,Lee Seon-woo,South Korea,"July 21, 2004 (age 21)",Active,DPS,Team Liquid,"$19,705","Tracer, Echo, Sojourn","Overwatch, Overwatch 2"
Hidden,Jeon Sang-young,South Korea,"April 21, 2003 (age 22)",Active,DPS,MDY,"$12,445","Widowmaker, Cassidy, Ashe","Overwatch, Overwatch 2"
CC2,,Japan,,Active,DPS,,"$1,300",,Overwatch 2
Leonopteryx,Keisuke Yamamoto,Japan,"February 10, 2002 (age 23)",Active,Tank,,"$2,538","Winston, Orisa, Junker Queen","Overwatch, Overwatch 2"
GodSam,Kengo Masuda,Japan,"September 10, 1995 (age 29)",Active,Tank,,"$2,285","D.Va, Zarya, Ramattra","Overwatch, Overwatch 2"
kiru01,Katsutaka Arai,Japan,"November 29, 1997 (age 27)",Active,Support,VortexWolf,"$2,558","Kiriko, Baptiste, Lifeweaver","Overwatch, Overwatch 2"
Sakume,,Japan,"April 23, 1999 (age 26)",Active,Support,REJECT,"$3,419","Ana, Zenyatta, Kiriko","Overwatch, Overwatch 2"
Neivis,,Japan,"November 11, 2001 (age 23)",Active,Support,Please Not Hero Ban,"$2,471","Ana, Zenyatta, Mei","Overwatch, Overwatch 2"
Schwi,Lee Dong-jae,South Korea,"October  6, 2001 (age 23)",Active,"Support, DPS",,"$23,505","Kiriko, Pharah, Doomfist","Overwatch, Overwatch 2"
Scarlett,Kwon Moon-kyung,South Korea,"April 13, 2005 (age 20)",Active,DPS,VEC,"$4,132","Genji, Pharah, Tracer","Overwatch, Overwatch 2"
Daisy,Shiono Hiromu,Japan,"June 15, 1999 (age 26)",Active,DPS,Aplomb Tiger,"$4,501","Tracer, Ashe, Widowmaker","Overwatch, Overwatch 2"
DOX,Kim Min-seok,South Korea,,Active,"Coach, Tank",VEC,$50,,Overwatch
